technique,question_id,top_k,expected_source,unique_source,top1_source,top1_source_correct,expected_source_first_rank,recall_at_k,top1_cosine,mean_at_k_cosine,retrieval_latency_ms,max_store_cosine_delta
semantic,q1,5,san_jose_apartment_rent_ordinance_fact_sheet.pdf,True,san_jose_apartment_rent_ordinance_fact_sheet.pdf,1,1,1,0.7095813751220703,0.6758876323699952,7.899166957940906,1.6922841639122055e-07
semantic,q2,5,san_jose_tenant_protection_ordinance_fact_sheet.pdf,True,san_jose_tenant_protection_ordinance_fact_sheet.pdf,1,1,1,0.7496107220649719,0.6509730458259583,7.17754103243351,1.0498086078225555e-07
semantic,q3,5,california_landlord_tenant_guide_2026.pdf,True,california_landlord_tenant_guide_2026.pdf,1,1,1,0.7344255447387695,0.68860924243927,7.181832974310964,8.779249016654944e-08
semantic,q4,5,california_fair_housing_fact_sheet_2022.pdf,False,california_landlord_tenant_guide_2026.pdf,0,3,1,0.7472186088562012,0.6668239712715149,7.502542051952332,1.1850421977044334e-07
semantic,q5,5,hud_fair_housing_act_guide.pdf,False,hud_fair_housing_act_guide.pdf,1,1,1,0.8024862408638,0.7446178674697876,7.009666005615145,1.1496943286282146e-07
sentence_window,q1,5,san_jose_apartment_rent_ordinance_fact_sheet.pdf,True,california_landlord_tenant_guide_2026.pdf,0,,0,0.7309073209762573,0.6916166543960571,32.17891696840525,1.1882304440380409e-07
sentence_window,q2,5,san_jose_tenant_protection_ordinance_fact_sheet.pdf,True,san_jose_tenant_protection_ordinance_fact_sheet.pdf,1,1,1,0.7224346995353699,0.6812281847000122,31.52958396822214,4.3698431206884436e-08
sentence_window,q3,5,california_landlord_tenant_guide_2026.pdf,True,california_landlord_tenant_guide_2026.pdf,1,1,1,0.7608057260513306,0.729913079738617,32.72845799801871,8.315367716615896e-08
sentence_window,q4,5,california_fair_housing_fact_sheet_2022.pdf,False,california_landlord_tenant_guide_2026.pdf,0,,0,0.7915942668914795,0.7094001054763794,32.971874985378236,1.8287165282071527e-07
sentence_window,q5,5,hud_fair_housing_act_guide.pdf,False,hud_fair_housing_act_guide.pdf,1,1,1,0.8575175404548645,0.7611022830009461,31.20087500428781,8.686894359399844e-08
token,q1,5,san_jose_apartment_rent_ordinance_fact_sheet.pdf,True,san_jose_apartment_rent_ordinance_fact_sheet.pdf,1,1,1,0.7218162417411804,0.6859779953956604,7.45829101651907,1.1009657896465797e-07
token,q2,5,san_jose_tenant_protection_ordinance_fact_sheet.pdf,True,san_jose_tenant_protection_ordinance_fact_sheet.pdf,1,1,1,0.7518563866615295,0.6781126022338867,6.612083001527935,1.0498086078225555e-07
token,q3,5,california_landlord_tenant_guide_2026.pdf,True,california_landlord_tenant_guide_2026.pdf,1,1,1,0.7969592213630676,0.7057013392448426,6.626832997426391,1.1442402358952108e-07
token,q4,5,california_fair_housing_fact_sheet_2022.pdf,False,california_landlord_tenant_guide_2026.pdf,0,2,1,0.6761651635169983,0.6392307996749877,6.673249998129904,1.1309642344858872e-07
token,q5,5,hud_fair_housing_act_guide.pdf,False,hud_fair_housing_act_guide.pdf,1,1,1,0.742387592792511,0.7186993479728698,6.313542020507157,1.0594478194736467e-07
